age,applicants,default_rate,prev_age_default_rate,change_vs_prev_age
21,671,10.88,,
22,2017,12.89,10.88,2.01
23,3689,14.15,12.89,1.26
24,3831,11.38,14.15,-2.77
25,4081,10.78,11.38,-0.6
26,4386,9.69,10.78,-1.09
27,6464,11.76,9.69,2.07
28,8458,11.43,11.76,-0.33
29,7635,10.92,11.43,-0.51
30,7832,11.45,10.92,0.53
31,8014,10.59,11.45,-0.86
32,8320,10.28,10.59,-0.31
33,7703,9.76,10.28,-0.52
34,7703,10.19,9.76,0.43
35,7703,9.52,10.19,-0.67
36,8208,9.71,9.52,0.19
37,8722,9.23,9.71,-0.48
38,8832,8.68,9.23,-0.55
39,8981,8.3,8.68,-0.38
40,8659,8.32,8.3,0.02
41,8448,7.92,8.32,-0.4
42,8353,7.75,7.92,-0.17
43,8247,7.64,7.75,-0.11
44,8143,7.88,7.64,0.24
45,7360,7.51,7.88,-0.37
46,7356,7.91,7.51,0.4
47,7181,7.56,7.91,-0.35
48,6908,6.89,7.56,-0.67
49,6764,7.58,6.89,0.69
50,6717,6.85,7.58,-0.73
51,6435,7.3,6.85,0.45
52,6715,6.69,7.3,-0.61
53,7177,6.87,6.69,0.18
54,7486,6.43,6.87,-0.44
55,7098,5.72,6.43,-0.71
56,6714,5.9,5.72,0.18
57,6902,5.36,5.9,-0.54
58,6365,5.33,5.36,-0.03
59,6497,5.57,5.33,0.24
60,6582,5.18,5.57,-0.39
61,5780,5.33,5.18,0.15
62,5367,5.14,5.33,-0.19
63,5451,5.76,5.14,0.62
64,5023,4.84,5.76,-0.92
65,4220,5.28,4.84,0.44
66,2597,3.5,5.28,-1.78
67,1850,3.73,3.5,0.23
68,1598,2.94,3.73,-0.79
69,268,3.73,2.94,0.79
